S.No.,"Particle mean size
  d50 (mm)","Pile Diameter
 D (m)","Time Period of wave
 T (s)","Height of wave
    H(m)","Current Velocity
    Uc(m/s)","Maximum wave 
orbital velocity 
 Uwm (m/s)","Maximum shear velocity
 Ufm (m/s)","Maximum value of 
combined waves and current velocity
         Um(m/s)","Velocity Ratio
         Ucw","Keulegan–Carpenter 
              number
                   KC","Pile Reynolds                  number
           Re","Froude 
number
       Fr","Shield number
            ᶿ",S/D,Reference ,
1,0.18,0.05,1.19,0.16,0,0.21,0.033,0.21,0,4.9,10000,0.2970,0.37,0,"SCOUR AROUND VERTICAL PILE IN WAVES 
By B. Mutlu Sumer, j0rgen Freds0e, and Niels Christiansen (1992)",
194,0.403,0.05,1,0.07,0.24,0.084,0.0144,0.324,0.74,1.67,16216,0.42,0.032,1.53,,
195,0.403,0.05,1,0.10,0.24,0.118,0.0165,0.358,0.67,2.39,17910,0.45,0.042,1.26,,
196,0.403,0.05,1,0.00,0.206,0.000,0.0092,0.206,1,0,10300,0.29,0.013,1.08,,
197,0.403,0.05,1,0.04,0.206,0.048,0.0114,0.254,0.81,0.95,12716,0.34,0.02,1.19,,
198,0.403,0.05,1,0.07,0.206,0.084,0.0134,0.290,0.71,1.67,14507,0.37,0.028,1.29,,
199,0.403,0.05,1,0.10,0.206,0.121,0.0156,0.327,0.63,2.39,16349,0.4,0.038,1.06,,
200,0.403,0.05,1,0.00,0.206,0.000,0.0092,0.206,1,0,10300,0.29,0.013,1.12,,
201,0.403,0.05,1,0.04,0.206,0.048,0.0114,0.254,0.81,0.95,12716,0.34,0.02,1.23,,
202,0.403,0.05,1,0.07,0.206,0.084,0.0134,0.290,0.71,1.67,14507,0.37,0.028,1.31,,
203,0.403,0.05,1,0.10,0.206,0.121,0.0156,0.327,0.63,2.39,16349,0.4,0.038,1,,
204,0.403,0.05,1,0.07,0.18,0.085,0.0127,0.265,0.68,1.67,13235,0.33,0.025,1.14,,
205,0.403,0.05,1,0.00,0.206,0.000,0.0092,0.206,1,0,10300,0.29,0.013,0.98,,
206,0.403,0.05,1,0.04,0.206,0.048,0.0114,0.254,0.81,0.95,12716,0.34,0.02,1.08,,
207,0.403,0.05,1,0.07,0.206,0.084,0.0134,0.290,0.71,1.67,14507,0.37,0.028,1.15,,
208,0.403,0.05,1,0.10,0.206,0.121,0.0156,0.327,0.63,2.39,16349,0.4,0.038,0.85,,
209,0.403,0.05,1,0.00,0.18,0.000,0.0080,0.180,1,0,9000,0.26,0.01,0.55,,
210,0.403,0.05,1,0.04,0.18,0.048,0.0105,0.228,0.79,0.95,11392,0.3,0.017,0.71,,
211,0.403,0.05,1,0.07,0.18,0.085,0.0127,0.265,0.68,1.67,13235,0.33,0.025,0.76,,
212,0.403,0.05,1,0.10,0.18,0.120,0.0150,0.300,0.6,2.39,15000,0.37,0.035,0.63,,
213,0.403,0.05,1,0.00,0.206,0.000,0.0092,0.206,1,0,10300,0.29,0.013,0.85,,
214,0.403,0.05,1,0.04,0.206,0.048,0.0114,0.254,0.81,0.95,12716,0.34,0.02,0.88,,
215,0.403,0.05,1,0.07,0.206,0.084,0.0134,0.290,0.71,1.67,14507,0.37,0.028,0.94,,
216,0.403,0.05,1,0.10,0.206,0.121,0.0156,0.327,0.63,2.39,16349,0.4,0.038,0.69,,
217,0.403,0.05,1,0.00,0.24,0.000,0.0105,0.240,1,0,12000,0.34,0.017,0.92,,
218,0.403,0.05,1,0.04,0.24,0.049,0.0124,0.289,0.83,0.95,14458,0.39,0.024,0.99,,
219,0.403,0.05,1,0.07,0.24,0.084,0.0144,0.324,0.74,1.67,16216,0.42,0.032,1.02,,
220,0.403,0.05,1,0.10,0.24,0.118,0.0165,0.358,0.67,2.39,17910,0.45,0.042,0.71,,
221,0.403,0.05,1,0.00,0.206,0.000,0.0092,0.206,1,0,10300,0.29,0.013,0.7,,
222,0.403,0.05,1,0.04,0.206,0.048,0.0114,0.254,0.81,0.95,12716,0.34,0.02,0.74,,
223,0.403,0.05,1,0.07,0.206,0.084,0.0134,0.290,0.71,1.67,14507,0.37,0.028,0.83,,
224,0.403,0.05,1,0.10,0.206,0.121,0.0156,0.327,0.63,2.39,16349,0.4,0.038,0.64,,
225,0.2,0.04,1.64,0.12,0,0.301,0.022,0.301,0,12.3,"12,040",0.48,0.15,0.25,"Dey S., Sumer M., Fredsoe J. 
Control of scour at vertical circular piles under waves and current. Journal of Hydraulic Engineering 2006; 132(3): 270-279",
226,0.2,0.04,1.86,0.12,0,0.315,0.023,0.315,0,14.6,"12,600",0.50,0.157,0.27,,
227,0.2,0.04,2.05,0.12,0,0.323,0.023,0.323,0,16.6,"12,920",0.52,0.16,0.30,,
228,0.2,0.04,2.35,0.12,0,0.305,0.021,0.305,0,17.9,"12,200",0.49,0.14,0.46,,
229,0.2,0.04,2.6,0.12,0,0.31,0.021,0.310,0,20.1,"12,400",0.49,0.14,0.53,,
230,0.2,0.04,2.97,0.12,0,0.325,0.022,0.325,0,24.1,"13,000",0.52,0.147,0.50,,
231,0.2,0.04,3.08,0.12,0,0.336,0.022,0.336,0,25.9,"13,440",0.54,0.155,0.57,,
232,0.2,0.04,3.38,0.12,0,0.332,0.022,0.332,0,28.1,"13,280",0.53,0.148,0.63,,
233,0.2,0.04,3.61,0.12,0,0.355,0.023,0.355,0,32,"14,200",0.57,0.164,0.66,,
234,0.2,0.04,3.8,0.12,0,0.355,0.023,0.355,0,33.7,"14,200",0.57,0.162,0.80,,
235,0.2,0.06,1.8,0.12,0,0.319,0.022,0.319,0,8.9,"17,880",0.42,0.144,0.07,,
236,0.2,0.06,2.01,0.12,0,0.34,0.023,0.340,0,10.6,"19,140",0.44,0.157,0.14,,
237,0.2,0.06,2.11,0.12,0,0.351,0.024,0.351,0,12,"20,400",0.46,0.174,0.16,,
238,0.2,0.06,2.34,0.12,0,0.343,0.024,0.343,0,13.7,"21,060",0.45,0.179,0.20,,
239,0.2,0.06,2.72,0.12,0,0.341,0.023,0.341,0,15.5,"20,580",0.44,0.166,0.28,,
240,0.2,0.06,2.92,0.12,0,0.338,0.023,0.338,0,16.6,"20,460",0.44,0.161,0.33,,
241,0.2,0.06,3.12,0.12,0,0.378,0.023,0.378,0,17.6,"20,280",0.49,0.156,0.37,,
242,0.2,0.06,3.33,0.12,0,0.338,0.025,0.338,0,21,"22,680",0.44,0.187,0.47,,
243,0.2,0.06,3.8,0.12,0,0.388,0.022,0.388,0,21.4,"20,280",0.51,0.148,0.48,,
244,0.2,0.06,3.61,0.12,0,38.8,0.025,38.800,0,23.3,"23,280",50.57,0.191,0.50,,
245,0.26,0.04,1.52,0.12,0,0.289,0.0214,0.289,0,11,11560,0.46,0.142,0.20,,
246,0.26,0.04,1.71,0.12,0,0.298,0.0217,0.298,0,12.7,11920,0.48,0.145,0.24,,
247,0.26,0.04,1.93,0.12,0,0.321,0.0228,0.321,0,15.5,12840,0.51,0.161,0.33,,
248,0.26,0.04,2.18,0.12,0,0.322,0.0225,0.322,0,17.5,12880,0.51,0.157,0.41,,
249,0.26,0.04,2.49,0.12,0,0.311,0.0215,0.311,0,19.4,12440,0.50,0.143,0.40,,
250,0.26,0.04,2.73,0.12,0,0.316,0.0215,0.316,0,21.6,12640,0.50,0.143,0.45,,
251,0.26,0.04,2.89,0.12,0,0.342,0.0229,0.342,0,24.7,13680,0.55,0.162,0.55,,
252,0.26,0.04,3.23,0.12,0,0.352,0.0232,0.352,0,28.4,14080,0.56,0.166,0.61,,
253,0.26,0.04,3.46,0.12,0,0.352,0.023,0.352,0,30.4,14080,0.56,0.163,0.72,,
254,0.26,0.04,3.72,0.12,0,0.357,0.0231,0.357,0,33.2,14280,0.57,0.164,0.78,,
255,0.26,0.04,3.84,0.12,0,0.352,0.0227,0.352,0,33.8,14080,0.56,0.159,0.84,,
256,0.26,0.06,1.61,0.12,0,0.31,0.0226,0.310,0,8.3,18600,0.40,0.187,0.27,,
257,0.26,0.06,1.93,0.12,0,0.312,0.0222,0.312,0,10,18720,0.41,0.153,0.32,,
258,0.26,0.06,2.19,0.12,0,0.312,0.0219,0.312,0,11.4,18720,0.41,0.148,0.37,,
259,0.26,0.06,2.21,0.12,0,0.351,0.0242,0.351,0,12.9,21060,0.46,0.182,0.37,,
260,0.26,0.06,2.56,0.12,0,0.339,0.0231,0.339,0,14.5,20340,0.44,0.165,0.43,,
261,0.26,0.06,2.8,0.12,0,0.348,0.0234,0.348,0,16.2,20880,0.45,0.169,0.47,,
262,0.26,0.06,3.22,0.12,0,0.319,0.0213,0.319,0,17.1,19140,0.42,0.14,0.54,,
263,0.26,0.06,3,0.12,0,0.369,0.0244,0.369,0,18.5,22140,0.48,0.184,0.50,,
264,0.26,0.06,3.61,0.12,0,0.35,0.0227,0.350,0,21.1,21000,0.46,0.16,0.60,,
265,0.26,0.06,3.5,0.12,0,0.381,0.0246,0.381,0,22.2,22860,0.50,0.187,0.58,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
