S.No.,"Particle mean size
  d50 (mm)","Pile Diameter
 D (m)","Time Period of wave
 T (s)","Height of wave
    H(m)","Current Velocity
    Uc(m/s)","Maximum wave 
orbital velocity 
 Uwm (m/s)","Maximum shear velocity
 Ufm (m/s)","Maximum value of 
combined waves and current velocity
         Um(m/s)","Velocity Ratio
         Ucw","Keulegan–Carpenter 
              number
                   KC","Pile Reynolds                  number
           Re","Froude 
number
       Fr","Shield number
            ᶿ",S/D,Reference ,
1,0.18,0.05,1.19,0.16,0,0.21,0.033,0.21,0,4.9,10000,0.2970,0.37,0,"SCOUR AROUND VERTICAL PILE IN WAVES 
By B. Mutlu Sumer, j0rgen Freds0e, and Niels Christiansen (1992)",
99,0.18,0.04,2.7,0.16,0,0.351,0.0195,0.351,0,23.7,14040,0.560,0.131,0.18,,
100,0.18,0.075,2.7,0.16,0,0.351,0.0195,0.351,0,12.6,26325,0.409,0.131,0.05,,
101,0.18,0.03,                                   ∞,0.16,0,0.405,0.0189,0.405,0,Steady current,12150,0.747,0.123,0.50,,
102,0.18,0.01,2.7,0.16,0,0.351,0.0195,0.351,0,94.8,3510,1.121,0.131,0.30,,
103,0.18,0.02,2.7,0.16,0,0.351,0.0195,0.351,0,47.4,7020,0.792,0.131,0.20,,
104,0.18,0.04,2.7,0.16,0,0.351,0.0195,0.351,0,23.7,14040,0.560,0.131,0.13,,
105,0.18,0.075,2.7,0.16,0,0.351,0.0195,0.351,0,12.6,26325,0.409,0.131,0.07,,
106,0.18,0.03,                                   ∞,0.16,0,0.405,0.0189,0.405,0,Steady current,12150,0.747,0.123,0.40,,
107,0.0041,0.01,2.7,0.16,0,0.34,0.0189,0.34,0,91.8,3400,1.086,4.67,0.20,,
108,0.0041,0.02,2.7,0.16,0,0.34,0.0189,0.34,0,45.9,6800,0.768,4.67,0.25,,
109,0.0041,0.025,2.7,0.16,0,0.34,0.0189,0.34,0,36.7,8500,0.687,4.67,0.16,,
110,0.0041,0.03,2.7,0.16,0,0.34,0.0189,0.34,0,30.6,10200,0.627,4.67,0.10,,
111,0.0041,0.035,2.7,0.16,0,0.34,0.0189,0.34,0,26.2,11900,0.580,4.67,0.11,,
112,0.0041,0.04,2.7,0.16,0,0.34,0.0189,0.34,0,23,13600,0.543,4.67,0.08,,
113,0.0041,0.05,2.7,0.16,0,0.34,0.0189,0.34,0,18.4,17000,0.485,4.67,0.15,,
114,0.0041,0.075,2.7,0.16,0,0.34,0.0189,0.34,0,12.2,25500,0.396,4.67,0.03,,
115,0.0041,0.03,                                   ∞,0.16,0,0.42,0.0189,0.42,0,Steady current,12600,0.774,4.67,0.33,,
116,0.2,1,3.5,12,0,0.3,0.0201,0.3,0,1.1,300000,0.096,0.125,0.038,"WAVE SCOUR AROUND A LARGE VERTICAL CIRCULAR CYLINDER
By B. M. Sumer and J. Fredsøe (2001)",
117,0.2,1,3.5,8.6,0,0.218,0.0169,0.218,0,0.76,220000,0.070,0.088,0.029,,
118,0.2,1,3.5,4.9,0,0.124,0.013,0.124,0,0.43,120000,0.040,0.052,0.01,,
119,0.2,1,2,8.2,0,0.218,0.0195,0.218,0,0.43,220000,0.070,0.117,0.025,,
120,0.2,1,3.5,2.5,0,0.084,0.0106,0.084,0,0.3,80000,0.027,0.035,0.006,,
121,0.2,1,3.5,5.7,0,0.156,0.0144,0.156,0,0.55,160000,0.050,0.064,0.02,,
122,0.2,1,3.5,6.4,0,0.174,0.0151,0.174,0,0.61,170000,0.056,0.07,0.024,,
123,0.2,1,3.5,8.7,0,0.215,0.0172,0.215,0,1.4,120000,0.069,0.09,0.033,,
124,0.2,1,3.5,6.9,0,0.18,0.0155,0.18,0,1.2,100000,0.057,0.074,0.019,,
125,0.2,1,3.5,6.9,0,0.18,0.0155,0.18,0,1.2,100000,0.057,0.074,0.024,,
126,0.2,1,3.5,6.4,0,0.17,0.015,0.17,0,1.1,90000,0.054,0.07,0.0037,,
127,0.2,1,3.5,5.6,0,0.152,0.014,0.152,0,0.98,80000,0.049,0.061,0.0093,,
128,0.2,1,3.5,12,0,0.3,0.0201,0.3,0,0.68,460000,0.096,0.125,0.016,,
129,0.2,1,3.5,8.7,0,0.215,0.0172,0.215,0,0.49,330000,0.069,0.09,0.012,,
130,0.2,1,3.5,6.9,0,0.18,0.0155,0.18,0,0.41,275000,0.057,0.074,0.005,,
131,0.2,1,3.5,6.4,0,0.17,0.015,0.17,0,0.38,260000,0.054,0.07,0.002,,
132,0.16,0.09,2.5,0.16,0,0.157,0.0124,0.157,0,4.36,14130,0.106,0.060,0.06,"Equilibrium scour depth at offshore monopile foundation 
in combined waves and current 
QI WenGang & GAO FuPing (2014)",
133,0.16,0.09,3.13,0.16,0,0.231,0.0182,0.231,0,8.02,20790,0.157,0.129,0.11,,
134,0.16,0.03,3.23,0.16,0,0.242,0.0191,0.242,0,26.02,7260,0.284,0.142,0.83,,
135,0.16,0.055,3.33,0.16,0,0.177,0.0139,0.177,0,10.73,9735,0.154,0.076,0.1,,
136,0.2,0.032,3.33,0.16,0,0.177,0.0139,0.177,0,18.44,5664,0.201,0.061,0.36,,
137,0.2,0.032,3.33,0.16,0,0.177,0.0139,0.177,0,18.44,5664,0.201,0.061,0.29,,
138,0.2,0.032,3.33,0.16,0.03,0.177,0.0163,0.207,0.14,18.44,6624,0.255,0.083,0.5,,
139,0.2,0.055,3.33,0.16,0.04,0.177,0.0171,0.217,0.17,10.73,11935,0.201,0.091,0.28,,
140,0.2,0.032,3.33,0.16,0.06,0.177,0.0187,0.237,0.26,18.44,7584,0.312,0.109,0.6,,
141,0.2,0.055,3.33,0.16,0.08,0.177,0.0202,0.257,0.31,10.73,14135,0.263,0.128,0.49,,
142,0.16,0.09,2.5,0.16,0.08,0.157,0.0187,0.237,0.35,4.36,21330,0.195,0.136,0.11,,
143,0.16,0.03,3.23,0.16,0.1,0.242,0.0269,0.342,0.29,26.02,10260,0.469,0.283,1.33,,
144,0.16,0.09,3.13,0.16,0.13,0.231,0.0284,0.361,0.36,8.02,32490,0.295,0.316,0.5,,
145,0.2,0.032,3.33,0.16,0.15,0.177,0.0257,0.327,0.46,18.44,10464,0.469,0.207,1.13,,
146,0.16,0.09,2.5,0.16,0.16,0.157,0.0250,0.317,0.5,4.36,28530,0.277,0.244,0.56,,
147,0.2,0.055,3.33,0.16,0.17,0.177,0.0273,0.347,0.49,10.73,19085,0.385,0.233,0.65,,
148,0.16,0.03,3.23,0.16,0.18,0.242,0.0332,0.422,0.42,26.02,12660,0.607,0.432,1.5,,
149,0.16,0.09,3.13,0.16,0.22,0.231,0.0355,0.451,0.49,8.02,40590,0.394,0.493,0.78,,
150,0.2,0.032,3.33,0.16,0.27,0.177,0.0352,0.447,0.6,18.44,14304,0.682,0.387,1.53,,
